-171.97	-15.13	0
-171.989188411	-15.1224583542	0.02
-172.008375456	-15.1149150901	0.04
-172.027561137	-15.1073702086	0.06
-172.046745454	-15.0998237107	0.08
-172.065928407	-15.0922755974	0.1
-172.085109997	-15.0847258696	0.12
-172.104290225	-15.0771745282	0.14
-172.12346909	-15.0696215744	0.16
-172.142646594	-15.0620670089	0.18
-172.161822736	-15.0545108328	0.2
-172.180997519	-15.0469530471	0.22
-172.200170941	-15.0393936526	0.24
-172.219343004	-15.0318326504	0.26
-172.238513707	-15.0242700413	0.28
